iter	Passed	Remaining
600	5998	3982
601	6004	3969
602	6011	3957
603	6018	3945
604	6024	3933
605	6031	3921
606	6037	3909
607	6044	3896
608	6091	3910
609	6098	3899
610	6105	3886
611	6111	3874
612	6116	3861
613	6123	3849
614	6130	3837
615	6139	3827
616	6146	3815
617	6153	3803
618	6159	3791
619	6169	3781
620	6178	3770
621	6185	3759
622	6193	3747
623	6199	3735
624	6205	3723
625	6211	3711
626	6217	3698
627	6224	3686
628	6230	3674
629	6235	3662
630	6241	3650
631	6247	3638
632	6253	3625
633	6259	3613
634	6271	3604
635	6308	3610
636	6315	3599
637	6322	3587
638	6328	3575
639	6335	3563
640	6341	3551
641	6347	3539
642	6354	3528
643	6362	3517
644	6371	3506
645	6381	3496
646	6387	3485
647	6393	3473
648	6400	3461
649	6406	3449
650	6412	3437
651	6418	3425
652	6424	3414
653	6431	3402
654	6437	3390
655	6443	3378
656	6449	3366
657	6456	3355
658	6463	3344
659	6469	3332
660	6476	3321
661	6489	3313
662	6498	3303
663	6506	3292
664	6513	3281
665	6521	3270
666	6549	3269
667	6557	3259
668	6567	3249
669	6574	3238
670	6581	3227
671	6591	3217
672	6598	3205
673	6604	3194
674	6610	3182
675	6616	3171
676	6623	3160
677	6629	3148
678	6636	3137
679	6642	3125
680	6649	3114
681	6657	3104
682	6664	3093
683	6671	3082
684	6678	3070
685	6685	3060
686	6693	3049
687	6700	3038
688	6707	3027
689	6713	3016
690	6721	3005
691	6728	2994
692	6734	2983
693	6741	2972
694	6748	2961
695	6755	2950
696	6762	2939
697	6796	2940
698	6803	2929
699	6809	2918
700	6815	2907
701	6821	2895
702	6828	2884
703	6833	2873
704	6842	2863
705	6853	2853
706	6861	2843
707	6868	2832
708	6874	2821
709	6879	2810
710	6885	2798
711	6891	2787
712	6898	2776
713	6908	2767
714	6918	2757
715	6929	2748
716	6940	2739
717	6951	2730
718	6964	2721
719	7007	2725
720	7041	2724
721	7047	2713
722	7054	2702
723	7060	2691
724	7068	2681
725	7074	2670
726	7081	2659
727	7087	2648
728	7094	2637
729	7101	2626
730	7107	2615
731	7114	2604
732	7121	2593
733	7127	2583
734	7133	2572
735	7141	2561
736	7147	2550
737	7154	2540
738	7161	2529
739	7169	2518
740	7174	2507
741	7180	2496
742	7187	2486
743	7194	2475
744	7200	2464
745	7205	2453
746	7211	2442
747	7217	2431
748	7222	2420
749	7231	2410
750	7239	2400
751	7265	2396
752	7271	2385
753	7278	2374
754	7284	2363
755	7291	2353
756	7297	2342
757	7303	2331
758	7309	2321
759	7316	2310
760	7324	2300
761	7333	2290
762	7340	2280
763	7347	2269
764	7354	2259
765	7364	2249
766	7372	2239
767	7382	2230
768	7391	2220
769	7398	2209
770	7404	2199
771	7412	2189
772	7419	2178
773	7427	2168
774	7437	2159
775	7450	2150
776	7459	2140
777	7467	2130
778	7473	2120
779	7497	2114
780	7504	2104
781	7510	2093
782	7517	2083
783	7524	2073
784	7533	2063
785	7546	2054
786	7569	2048
787	7580	2039
788	7587	2029
789	7595	2019
790	7604	2009
791	7611	1998
792	7618	1988
793	7625	1978
794	7632	1968
795	7638	1957
796	7645	1947
797	7654	1937
798	7666	1928
799	7674	1918
800	7685	1909
801	7691	1898
802	7699	1888
803	7706	1878
804	7713	1868
805	7751	1865
806	7763	1856
807	7773	1847
808	7780	1836
809	7786	1826
810	7793	1816
811	7800	1805
812	7805	1795
813	7812	1785
814	7818	1774
815	7825	1764
816	7832	1754
817	7837	1743
818	7844	1733
819	7851	1723
820	7859	1713
821	7868	1703
822	7878	1694
823	7887	1684
824	7894	1674
825	7900	1664
826	7907	1654
827	7914	1644
828	7920	1633
829	7927	1623
830	7932	1613
831	7939	1603
832	7947	1593
833	7954	1583
834	7989	1578
835	7996	1568
836	8004	1558
837	8012	1548
838	8019	1538
839	8029	1529
840	8040	1520
841	8048	1510
842	8056	1500
843	8064	1490
844	8073	1481
845	8082	1471
846	8091	1461
847	8100	1452
848	8108	1442
849	8116	1432
850	8124	1422
851	8134	1412
852	8143	1403
853	8152	1393
854	8158	1383
855	8167	1373
856	8179	1364
857	8189	1355
858	8251	1354
859	8261	1344
860	8268	1334
861	8274	1324
862	8284	1315
863	8296	1305
864	8305	1296
865	8312	1286
866	8319	1276
867	8325	1266
868	8332	1256
869	8339	1246
870	8346	1236
871	8354	1226
872	8364	1216
873	8376	1207
874	8385	1197
875	8395	1188
876	8405	1178
877	8412	1168
878	8420	1159
879	8426	1149
880	8433	1139
881	8460	1131
882	8467	1121
883	8473	1111
884	8479	1101
885	8486	1091
886	8502	1083
887	8522	1074
888	8541	1066
889	8553	1057
890	8563	1047
891	8574	1038
892	8582	1028
893	8588	1018
894	8595	1008
895	8605	998
896	8616	989
897	8624	979
898	8631	969
899	8638	959
900	8645	949
901	8652	940
902	8660	930
903	8666	920
904	8673	910
905	8707	903
906	8713	893
907	8720	883
908	8727	873
909	8733	863
910	8740	853
911	8746	843
912	8753	834
913	8760	824
914	8768	814
915	8784	805
916	8798	796
917	8813	787
918	8829	778
919	8844	769
920	8860	760
921	8876	750
922	8891	741
923	8905	732
924	8930	724
925	8943	714
926	8956	705
927	8963	695
928	8971	685
929	8978	675
930	8984	665
931	8990	655
932	8997	646
933	9003	636
934	9009	626
935	9016	616
936	9031	607
937	9048	598
938	9059	588
939	9069	578
940	9077	569
941	9083	559
942	9092	549
943	9098	539
944	9105	529
945	9112	520
946	9120	510
947	9133	500
948	9182	493
949	9191	483
950	9199	474
951	9206	464
952	9213	454
953	9220	444
954	9226	434
955	9234	425
956	9244	415
957	9253	405
958	9260	395
959	9267	386
960	9274	376
961	9282	366
962	9290	356
963	9297	347
964	9304	337
965	9312	327
966	9324	318
967	9335	308
968	9344	298
969	9351	289
970	9357	279
971	9364	269
972	9370	260
973	9378	250
974	9384	240
975	9407	231
976	9417	221
977	9431	212
978	9443	202
979	9455	192
980	9471	183
981	9487	173
982	9504	164
983	9518	154
984	9527	145
985	9535	135
986	9542	125
987	9549	115
988	9555	106
989	9565	96
990	9572	86
991	9578	77
992	9585	67
993	9592	57
994	9599	48
995	9607	38
996	9614	28
997	9623	19
998	9653	9
999	9659	0
